[503] path_loss: 0.074, valid_len_loss: 54.713, std_loss: 0.09, lr: 0.009320275858044624.
[511] path_loss: 0.036, valid_len_loss: 48.564, std_loss: 0.076, lr: 0.00929368194192648.
[519] path_loss: 0.214, valid_len_loss: 49.048, std_loss: 0.14, lr: 0.009266616776585579.
[527] path_loss: 0.955, valid_len_loss: 53.303, std_loss: 0.116, lr: 0.009239084087312222.
[535] path_loss: 0.547, valid_len_loss: 51.397, std_loss: 0.176, lr: 0.009211085736751556.
[543] path_loss: 0.798, valid_len_loss: 50.402, std_loss: 0.167, lr: 0.009182626381516457.
[551] path_loss: 0.573, valid_len_loss: 43.388, std_loss: 0.251, lr: 0.009153707884252071.
[559] path_loss: 0.674, valid_len_loss: 47.48, std_loss: 0.232, lr: 0.009124334901571274.
epoch0, file 81 / 1552
[567] path_loss: 1.721, valid_len_loss: 77.168, std_loss: 0.239, lr: 0.009094508364796638.
[575] path_loss: 0.942, valid_len_loss: 90.961, std_loss: 0.154, lr: 0.009064233861863613.
[583] path_loss: 0.703, valid_len_loss: 88.328, std_loss: 0.562, lr: 0.009033512324094772.
[591] path_loss: 0.452, valid_len_loss: 81.28, std_loss: 0.309, lr: 0.009002349339425564.
[599] path_loss: 0.887, valid_len_loss: 78.643, std_loss: 0.202, lr: 0.008970747701823711.
[607] path_loss: 0.631, valid_len_loss: 72.243, std_loss: 0.23, lr: 0.008938710205256939.
[615] path_loss: 0.66, valid_len_loss: 78.427, std_loss: 0.218, lr: 0.008906240575015545.
[623] path_loss: 0.826, valid_len_loss: 66.065, std_loss: 0.217, lr: 0.008873343467712402.
[631] path_loss: 1.066, valid_len_loss: 97.655, std_loss: 0.123, lr: 0.00884002074599266.
[639] path_loss: 0.874, valid_len_loss: 82.169, std_loss: 0.189, lr: 0.008806277066469193.
[647] path_loss: 0.4, valid_len_loss: 76.454, std_loss: 0.174, lr: 0.008772116154432297.
[655] path_loss: 0.441, valid_len_loss: 77.256, std_loss: 0.172, lr: 0.008737541735172272.
[663] path_loss: 0.867, valid_len_loss: 70.977, std_loss: 0.185, lr: 0.008702557533979416.
[671] path_loss: 1.03, valid_len_loss: 78.963, std_loss: 0.199, lr: 0.008667166344821453.
epoch0, file 98 / 1552
[679] path_loss: 0.764, valid_len_loss: 121.144, std_loss: 0.384, lr: 0.008631373755633831.
[687] path_loss: 0.658, valid_len_loss: 119.236, std_loss: 0.223, lr: 0.008595183491706848.
[695] path_loss: 0.919, valid_len_loss: 115.575, std_loss: 0.216, lr: 0.008558598347008228.
[703] path_loss: 0.53, valid_len_loss: 97.035, std_loss: 0.103, lr: 0.008521622978150845.
[711] path_loss: 0.558, valid_len_loss: 92.349, std_loss: 0.093, lr: 0.008484261110424995.
[719] path_loss: 0.534, valid_len_loss: 75.147, std_loss: 0.146, lr: 0.008446517400443554.
[727] path_loss: 0.64, valid_len_loss: 63.579, std_loss: 0.117, lr: 0.008408395573496819.
[735] path_loss: 1.417, valid_len_loss: 78.02, std_loss: 0.315, lr: 0.008369900286197662.
[743] path_loss: 1.569, valid_len_loss: 73.271, std_loss: 0.188, lr: 0.008331035263836384.
[751] path_loss: 1.532, valid_len_loss: 73.34, std_loss: 0.196, lr: 0.008291805163025856.
[759] path_loss: 1.219, valid_len_loss: 70.831, std_loss: 0.209, lr: 0.008252214640378952.
[767] path_loss: 2.12, valid_len_loss: 87.871, std_loss: 0.251, lr: 0.008212266489863396.
[775] path_loss: 1.765, valid_len_loss: 78.713, std_loss: 0.442, lr: 0.008171966299414635.
[783] path_loss: 1.899, valid_len_loss: 96.669, std_loss: 0.418, lr: 0.008131318725645542.
epoch0, file 114 / 1552
[791] path_loss: 0.238, valid_len_loss: 71.473, std_loss: 0.07, lr: 0.008090327493846416.
